experiment,timesteps,epochs,best_val_loss,best_val_loss_epoch,best_val_f1,best_val_f1_epoch,avg_epoch_time
exp_T10_E5_20260116_193423,10,5,0.0012436744116545,5,0.8924850813284962,5,65.63679310259758
exp_T25_E5_20260116_194046,25,5,0.0021479428440048,4,0.8968517094625811,5,161.8366385928006
exp_T50_E5_20260116_195624,50,5,0.0036650778666866,5,0.8954628736475335,5,323.6112482150027
exp_T5_E5_20260116_193102,5,5,0.0012677825404258,5,0.8352797449883623,5,33.99832978220074
exp_T10_E10_20260119_121125,10,10,0.0009831451716308,9,0.9219412680580628,9,65.5443018240796
exp_T25_E10_20260116_202736,25,10,0.0016840576666244,9,0.9306998005232532,9,162.8757538460981
exp_T50_E10_20260119_122425,50,10,0.0028200315073368,9,0.938226656661159,10,321.1105178715137
exp_T5_E10_20260119_120427,5,10,0.001023445291369,10,0.911518864374816,8,33.572381651290925
exp_T10_E25_20260119_133937,10,25,0.0009637472209771,20,0.9472450144206598,17,65.90335700228344
exp_T25_E25_20260116_205905,25,25,0.0015209965502477,21,0.9454444362630656,23,163.32263141503964
exp_T50_E25_20260120_190556,50,25,0.002558209594883,20,0.9604273409183408,23,323.05720816204325
exp_T5_E25_20260120_181143,5,25,0.000894657728408,8,0.9483180273087024,22,33.5264362153993
exp_T10_E50_20260119_141222,10,50,0.0009028748100226,40,0.9645439863370318,48,66.10837437856593
exp_T25_E50_20260116_221758,25,50,0.0014843066638035,38,0.9610712365596796,44,163.71119382858043
exp_T50_E50_20260120_220207,50,50,0.0126846799808929,1,0.5841578328652726,1,327.48219436302315
exp_T5_E50_20260120_182815,5,50,0.0010210566712451,46,0.9545877617458908,39,33.631112316120415
