experiment,timesteps,epochs,final_train_loss,final_val_loss,final_val_f1
exp_T10_E5_20260116_193423,10,5,0.0010805994623682,0.0012436744116545,0.8924850813284962
exp_T25_E5_20260116_194046,25,5,0.0015987512956307,0.0021685195311331,0.8968517094625811
exp_T50_E5_20260116_195624,50,5,0.0036659293334639,0.0036650778666866,0.8954628736475335
exp_T5_E5_20260116_193102,5,5,0.0012224882717024,0.0012677825404258,0.8352797449883623
exp_T10_E10_20260119_121125,10,10,0.0004744131303698,0.0012505229809401,0.8904845542885048
exp_T25_E10_20260116_202736,25,10,0.0008333773878001,0.0029715124247381,0.8410570009414193
exp_T50_E10_20260119_122425,50,10,0.0013005177033667,0.0028422605876888,0.938226656661159
exp_T5_E10_20260119_120427,5,10,0.0006300311426699,0.001023445291369,0.8841646639811428
exp_T10_E25_20260119_133937,10,25,0.0001859879181931,0.0010620117735371,0.9428994859539522
exp_T25_E25_20260116_205905,25,25,0.0003046617228624,0.0018161838301678,0.9420871350721428
exp_T50_E25_20260120_190556,50,25,0.0006473083534851,0.002855983876679,0.938898319836237
exp_T5_E25_20260120_181143,5,25,0.0002719045036275,0.0010469820505367,0.9465128272065172
exp_T10_E50_20260119_141222,10,50,0.0001402415937594,0.0012015581986523,0.9513572374009704
exp_T25_E50_20260116_221758,25,50,0.0001474340291461,0.0018074032007627,0.9562226847991484
exp_T50_E50_20260120_220207,50,50,0.0585699143034997,0.0126846799808929,0.5841578328652726
exp_T5_E50_20260120_182815,5,50,6.945500416731498e-05,0.001106459929921,0.9508997958180596
